,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
248,3.87063661786174e-73,0.812218701150169,0.792,0.395,7.19628759992855e-69,12,Ecscr
249,1.25584099706775e-71,1.18981205687823,0.989,0.919,2.33485958174835e-67,12,1500015O10Rik
250,2.27205051654095e-70,0.784201654991749,1,0.963,4.22419632035294e-66,12,Zfhx3
251,7.21171473610231e-66,0.921554565893403,1,0.997,1.34080200373614e-61,12,Tpm1
252,8.25284257298136e-65,0.825256316981139,0.993,0.944,1.53436849116869e-60,12,Meg3
253,2.82936779970987e-57,1.02641556633009,0.979,0.831,5.2603606132206e-53,12,Ogn
254,5.61549858725215e-56,0.87928604631394,0.993,0.917,1.04403349734192e-51,12,Col11a1
255,3.00686889646226e-51,0.759471031045064,0.982,0.862,5.59037065230263e-47,12,Cryab
256,4.7717717461259e-44,0.902169553722819,0.795,0.464,8.87167803039728e-40,12,Igfbp3
257,7.86846991126598e-41,0.768168908375602,0.993,0.977,1.46290592590257e-36,12,Thbs1
258,3.10561199129119e-35,0.906303145560452,0.866,0.574,5.77395381420858e-31,12,C1qtnf3
259,1.54069543238905e-32,0.817918823768583,0.912,0.747,2.86446094789771e-28,12,Rflnb
260,1.39990651746612e-21,0.758843447337304,0.509,0.3,2.60270619727301e-17,12,Tgfb2
261,0,1.37429351630956,0.841,0.111,0,13,Ifit3b
262,0,1.0980832771649,0.523,0.024,0,13,Rsad2
263,4.19975758982555e-303,1.86394323763737,0.942,0.176,7.80818931100366e-299,13,Iigp1
264,4.92409819720919e-286,1.69577690980465,0.245,0.007,9.15488336825133e-282,13,Cxcl10
265,6.7509507329388e-279,2.67615776219956,0.989,0.236,1.25513676026798e-274,13,Ifit3
266,4.53234302659231e-230,1.08361106938378,0.83,0.159,8.42653215504043e-226,13,Gm4951
267,6.57471761336715e-224,1.04805857132819,0.848,0.178,1.22237149867722e-219,13,Usp18
268,2.69279758857198e-214,1.08448137697678,0.83,0.179,5.00644927667303e-210,13,Irf7
269,1.82435369205939e-209,1.03715629893415,0.675,0.108,3.39183838427682e-205,13,Ifi44
270,1.60600721939308e-198,0.996087489094645,0.773,0.158,2.98588862229561e-194,13,Trim30a
271,1.77286989255463e-197,2.7360120955159,0.989,0.398,3.29611970423758e-193,13,Ifit1
272,3.29360196617066e-165,1.24170121634494,0.931,0.352,6.1234647755045e-161,13,Oasl2
273,6.89556558788278e-161,1.86875812375405,0.957,0.429,1.28202355409917e-156,13,Isg15
274,1.05410517775189e-158,1.1340420524804,0.838,0.256,1.95979234647631e-154,13,Gbp7
275,1.80904079659643e-149,0.968577179223155,0.942,0.341,3.36336864903208e-145,13,Rtp4
276,3.52333701524253e-139,1.31893706180693,0.942,0.475,6.55058817873892e-135,13,Rnf213
277,2.77615340000227e-119,1.42304748222142,0.809,0.307,5.16142440128422e-115,13,Gbp2
278,9.96229338247355e-119,1.10590904200128,0.939,0.528,1.85218958566948e-114,13,Stat1
279,1.75880506460743e-118,1.55447636277337,0.993,0.798,3.26997037611814e-114,13,Bst2
